Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
きのう,昨日,어제,昨日は友達と映画を見に行った。,きのうはともだちとえいがをみにいった。,어제 친구와 함께 영화를 보러 갔다.,きのうは雨が降っていた。,きのうはあめがふっていた。,어제는 비가 내리고 있었다
きまる,決まる,정해지다,あしたのかいぎきじにがきまります。,あしたのかいぎのじかんにきまります。,내일 회의 시간이 정해집니다.,新しいプロジェクトの責任者は来週決まる予定です。,あたらしいプロジェクトのせきにんしゃはらいしゅうきまるよていです。,새로운 프로젝트의 책임자는 다음 주에 결정될 예정입니다
きめる,決める,정하다,私たちはこの問題をどう決めるべきでしょうか。,わたしたちは この もんだいを どう きめる べき でしょうか。,우리는 이 문제를 어떻게 정해야 할까요?,私は来年の進路を決めるために学校のカウンセラーに相談した。,わたしはらいねんのしんろをきめるためにがっこうのカウンセラーにそうだんした。,내년의 진로를 결정하기 위해 학교의 상담사에게 상담했다
きもち,気持ち,기분,今日はとても気持ちがいいです。,きょうはとてもきもちがいいです。,오늘 기분이 정말 좋습니다.,この風景を見ると、気持ちが温かくなる。,このふうけいを見ると、きもちがあたたかくなる。,이 풍경을 보면 마음이 따뜻해진다
きゃく,客,손님,お客様をお待たせいたしました。,おきゃくさまをおまたせいたしました。,손님을 기다리게 했습니다.,この店には多くの客が訪れる。,このみせにはおおくのきゃくがおとずれる。,이 가게에는 많은 손님이 방문합니다
きゅう,急,급함,電車が急な曲がり角を通る時は気をつけましょう。,でんしゃが きゅうな まがりかどを とおる ときは きを つけましょう。,열차가 급한 커브길을 지날 때는 조심해야 합니다.,この列車は急行です。,このれっしゃはきゅうこうです。,이 열차는 급행입니다.
ぎゅうにゅう,牛乳,우유,私はよく朝にぎゅうにゅうを飲みます。,わたしはよくあさにぎゅうにゅうをのみます。,나는 아침에 자주 우유를 마신다.,朝、ぎゅうにゅうをコップに入れて飲みます。,あさ、ぎゅうにゅうをコップにいれてのみます。,아침에 저는 컵에 우유를 부어 마십니다.
きょう,今日,오늘,今日は晴れですから、散歩に行きましょう。,きょうははれですから、さんぽにいきましょう。,"오늘은 맑아서, 산책하러 갑시다.",きょうは天気がいいです。,きょうはてんきがいいです。,오늘은 날씨가 좋습니다
きょうしつ,教室,교실,子供たちはきょうしつで勉強しています。,こどもたちは きょうしつで べんきょう しています。,아이들은 교실에서 공부하고 있습니다.,学校のきょうしつはとても明るいです。,がっこうのきょうしつはとてもあかるいです。,학교의 교실은 아주 밝습니다.
きょうだい,兄弟,"형제, 남매",私には兄弟がいます。,わたしにはきょうだいがいます。,나에게는 형제가 있습니다.,私にはきょうだいが三人います。,わたしにはきょうだいがさんにんいます,제 형제자매가 세 명 있습니다
きょうみ,,"흥미, 관심",子供の頃から動物に対してきょうみがあった。,こどものころからどうぶつにたいしてきょうみがあった。,어릴 적부터 동물에 대해 관심이 있었다.,日本の歴史にきょうみがあります。,にほんのれきしにきょうみがあります。,일본의 역사에 흥미가 있습니다
きょねん,去年,작년,去年は沖縄に旅行に行った。,きょねんは おきなわに りょこうに いった。,작년에는 오키나와에 여행을 갔습니다.,きょねん、日本でたくさんの友だちを作りました。,きょねん、にほんでたくさんのともだちをつくりました。,작년에는 일본에서 많은 친구들을 만들었습니다
きらい,,싫어함,私はきらいな食べ物があります。,わたしはきらいなたべものがあります。,나는 싫어하는 음식이 있습니다.,私はにんじんがきらいです。,わたしはにんじんがきらいです。,저는 당근이 싫습니다
きる,切る,"자르다, 끊다",この包丁で野菜を切ります。,この ほうちょう で やさい を きります。,이 칼로 야채를 자릅니다.,はさみで紙を切る。,はさみでかみをきる。,가위로 종이를 자르다
きる,着る,입다,私は毎朝制服を着ます。,わたしは まいあさ せいふくを きます。,나는 매일 아침 교복을 입습니다.,今日はこのジャケットを着る。,きょうはこのジャケットをきる。,오늘은 이 재킷을 입습니다.
きれい,,"예쁨, 깨끗함",きれいな花が咲いています。,きれいなはながさいています。,예쁜 꽃이 피었습니다.,この花はきれいです。,このはなはきれいです。,이 꽃은 예쁩니다
ぎんこう,銀行,은행,母は毎週ぎんこうに行って預金をします。,はは は まいしゅう ぎんこう に いって よきん を します。,엄마는 매주 은행에 가서 예금을 합니다.,今日は銀行でお金を引き出しました。,きょうはぎんこうでおかねをひきだしました。,오늘은 은행에서 돈을 인출했습니다.
ぐあい,具合,"형편, 상태",天気の具合はどうですか。,てんきのぐあいはどうですか。,날씨 형편은 어떻습니까?,今日は体の具合が悪いです。,きょうはからだのぐあいがわるいです。,오늘은 몸 상태가 좋지 않습니다
くうこう,空港,공항,その空港までバスで行きます。,その くうこう まで ばす で いきます。,그 공항까지 버스로 갑니다.,空港で友達と待ち合わせをします。,くうこうでともだちとまちあわせをします。,공항에서 친구와 만나기로 합니다.
くすり,薬,약,病気の時は医者に診てもらって、くすりを飲む必要がある。,びょうきのときはいしゃにみてもらって、クスリをのむひつようがある。,"병에 걸렸을 때는 의사에게 진찰을 받고, 약을 먹어야 한다.",このくすり薬薬は風邪の症状によく効く。,このくすりやくやくはかぜのしょうじょうによくきく。,이 약은 감기 증상에 잘 듣는다
